Dátum/Idő;+A;-A
MAXIMUM ÉRTÉK;0.9370;1.8670
ÖSSZEG;213.1780;1188.7000
2025.05.01. 00:00;0.147;0
2025.05.01. 00:15;0.152;0
2025.05.01. 00:30;0.191;0
2025.05.01. 00:45;0.138;0
2025.05.01. 01:00;0.123;0
2025.05.01. 01:15;0.13;0
2025.05.01. 01:30;0.129;0
2025.05.01. 01:45;0.132;0
2025.05.01. 02:00;0.143;0
2025.05.01. 02:15;0.132;0
2025.05.01. 02:30;0.135;0
2025.05.01. 02:45;0.116;0
2025.05.01. 03:00;0.134;0
2025.05.01. 03:15;0.154;0
2025.05.01. 03:30;0.167;0
2025.05.01. 03:45;0.169;0
2025.05.01. 04:00;0.159;0
2025.05.01. 04:15;0.159;0
2025.05.01. 04:30;0.181;0
2025.05.01. 04:45;0.165;0
2025.05.01. 05:00;0.162;0
2025.05.01. 05:15;0.154;0
2025.05.01. 05:30;0.141;0
2025.05.01. 05:45;0.126;0
2025.05.01. 06:00;0.08;0
2025.05.01. 06:15;0.069;0.006
2025.05.01. 06:30;0.087;0.013
2025.05.01. 06:45;0.063;0
2025.05.01. 07:00;0.038;0.02
2025.05.01. 07:15;0.023;0.037
2025.05.01. 07:30;0.022;0.053
2025.05.01. 07:45;0.008;0.192
2025.05.01. 08:00;0;0.446
2025.05.01. 08:15;0;0.55
2025.05.01. 08:30;0;0.743
2025.05.01. 08:45;0;0.916
2025.05.01. 09:00;0.034;0.924
2025.05.01. 09:15;0;1.037
2025.05.01. 09:30;0;1.079
2025.05.01. 09:45;0;1.064
2025.05.01. 10:00;0;1.12
2025.05.01. 10:15;0;1.16
2025.05.01. 10:30;0.003;1.22
2025.05.01. 10:45;0.108;1.091
2025.05.01. 11:00;0;1.332
2025.05.01. 11:15;0.001;1.346
2025.05.01. 11:30;0;1.403
2025.05.01. 11:45;0;1.479
2025.05.01. 12:00;0;1.525
2025.05.01. 12:15;0;1.532
2025.05.01. 12:30;0;1.58
2025.05.01. 12:45;0;1.606
2025.05.01. 13:00;0;1.624
2025.05.01. 13:15;0;1.599
2025.05.01. 13:30;0;1.496
2025.05.01. 13:45;0;1.474
2025.05.01. 14:00;0.015;1.382
2025.05.01. 14:15;0.015;1.356
2025.05.01. 14:30;0.009;1.193
2025.05.01. 14:45;0.058;1.096
2025.05.01. 15:00;0.018;1.133
2025.05.01. 15:15;0;1.096
2025.05.01. 15:30;0.04;0.996
2025.05.01. 15:45;0;1.014
2025.05.01. 16:00;0.22;0.79
